"Life-Stage Group","Arsenica","Boron (mg/d)","Calcium (mg/d)","Chromium","Copper (μg/d)","Fluoride (mg/d)","Iodine (μg/d)","Iron (mg/d)","Magnesium (mg/d)b","Manganese (mg/d)","Molybdenum (μg/d)","Nickel (mg/d)","Phosphorus (g/d)","Potassium","Selenium (μg/d)","Siliconc","Sulfate","Vanadium (mg/d)d","Zinc (mg/d)","Sodiume","Chloride (g/d)"
"Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants","Infants"
"0–6 mo","NDf","ND","1,000g","ND","ND","0.7","ND","40","ND","ND","ND","ND","ND","NDh","45","ND","ND","ND","4","NDh","ND"
"7–12 mo","ND","ND","1,500g","ND","ND","0.9","ND","40","ND","ND","ND","ND","ND","NDh","60","ND","ND","ND","5","NDh","ND"
"Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children","Children"
"1–3 y","ND","3","2,500","ND","1,000","1.3","200","40","65","2","300","0.2","3","NDh","90","ND","ND","ND","7","NDh","2.3"
"4–8 y","ND","6","2,500","ND","3,000","2.2","300","40","110","3","600","0.3","3","NDh","150","ND","ND","ND","12","NDh","2.9"
"Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males","Males"
"9–13 y","ND","11","3,000","ND","5,000","10","600","40","350","6","1,100","0.6","4","NDh","280","ND","ND","ND","23","NDh","3.4"
"14–18 y","ND","17","3 000","ND","8 000","10","900","45","350","9","1 700","1.0","4","NDh","400","ND","ND","ND","34","NDh","3.6"
"19–30 y","ND","20","2,500","ND","10,000","10","1,100","45","350","11","2,000","1.0","4","NDh","400","ND","ND","1.8","40","NDh","3.6"
"31–50 y","ND","20","2,500","ND","10,000","10","1,100","45","350","11","2,000","1.0","4","NDh","400","ND","ND","1.8","40","NDh","3.6"
"51–70 y","ND","20","2,000","ND","10,000","10","1,100","45","350","11","2,000","1.0","4","NDh","400","ND","ND","1.8","40","NDh","3.6"
"> 70 y","ND","20","2,000","ND","10,000","10","1,100","45","350","11","2,000","1.0","3","NDh","400","ND","ND","1.8","40","NDh","3.6"
"Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females","Females"
"9–13 y","ND","11","3,000","ND","5,000","10","600","40","350","6","1,100","0.6","4","NDh","280","ND","ND","ND","23","NDh","3.4"
"14–18 y","ND","17","3,000","ND","8,000","10","900","45","350","9","1,700","1.0","4","NDh","400","ND","ND","ND","34","NDh","3.6"
"19–30 y","ND","20","2,500","ND","10,000","10","1,100","45","350","11","2,000","1.0","4","NDh","400","ND","ND","1.8","40","NDh","3.6"
"31–50 y","ND","20","2,500","ND","10,000","10","1,100","45","350","11","2,000","1.0","4","NDh","400","ND","ND","1.8","40","NDh","3.6"
"51–70 y","ND","20","2,000","ND","10,000","10","1,100","45","350","11","2,000","1.0","4","NDh","400","ND","ND","1.8","40","NDh","3.6"
"> 70 y","ND","20","2,000","ND","10,000","10","1,100","45","350","11","2,000","1.0","3","NDh","400","ND","ND","1.8","40","NDh","3.6"
"Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy","Pregnancy"
"14–18 y","ND","17","3,000","ND","8,000","10","900","45","350","9","1,700","1.0","3.5","NDh","400","ND","ND","ND","34","NDh","3.6"
"19–30 y","ND","20","2,500","ND","10,000","10","1,100","45","350","11","2,000","1.0","3.5","NDh","400","ND","ND","ND","40","NDh","3.6"
"31–50 y","ND","20","2,500","ND","10,000","10","1,100","45","350","11","2,000","1.0","3.5","NDh","400","ND","ND","ND","40","NDh","3.6"
"Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation","Lactation"
"14–18 y","ND","17","3,000","ND","8,000","10","900","45","350","9","1,700","1.0","4","NDh","400","ND","ND","ND","34","NDh","3.6"
"19–30 y","ND","20","2,500","ND","10,000","10","1,100","45","350","11","2,000","1.0","4","NDh","400","ND","ND","ND","40","NDh","3.6"
"31−50 y","ND","20","2,500","ND","10,000","10","1,100","45","350","11","2,000","1.0","4","NDh","400","ND","ND","ND","40","NDh","3.6"
