"Life StageGroup","Vitamin A(μg/d)a","Vitamin C(mg/d)","Vitamin D(μg/d)","Vitamin E(mg/d)b,c","Vitamin K","Thiamin","Riboflavin","Niacin(mg/d)c","Vitamin B6(mg/d)","Folate(μg/d)c","Vitamin B12","Pantothenic Acid","Biotin","Choline(g/d)","Carotenoidsd"
"Infants","","",NA,"","","","","","","","","","","",""
" 0–6 mo","600","NDe",25,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
" 6–12 mo","600","ND",38,"ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
"Children","","",NA,"","","","","","","","","","","",""
" 1–3 y","600","400",63,"200","ND","ND","ND","10","30","300","ND","ND","ND","1.0","ND"
" 4–8 y","900","650",75,"300","ND","ND","ND","15","40","400","ND","ND","ND","1.0","ND"
"Males","","",NA,"","","","","","","","","","","",""
" 9–13 y","1,700","1,200",100,"600","ND","ND","ND","20","60","600","ND","ND","ND","2.0","ND"
" 14–18 y","2,800","1,800",100,"800","ND","ND","ND","30","80","800","ND","ND","ND","3.0","ND"
" 19–30 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
" 31–50 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
" 51–70 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
" > 70 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"Females","","",NA,"","","","","","","","","","","",""
" 9–13 y","1,700","1,200",100,"600","ND","ND","ND","20","60","600","ND","ND","ND","2.0","ND"
" 14–18 y","2,800","1,800",100,"800","ND","ND","ND","30","80","800","ND","ND","ND","3.0","ND"
" 19–30 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
" 31–50 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
" 51–70 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
" > 70 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"Pregnancy","","",NA,"","","","","","","","","","","",""
" 14–18 y","2,800","1,800",100,"800","ND","ND","ND","30","80","800","ND","ND","ND","3.0","ND"
" 19–30 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
" 31–50 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"Lactation","","",NA,"","","","","","","","","","","",""
" 14–18 y","2,800","1,800",100,"800","ND","ND","ND","30","80","800","ND","ND","ND","3.0","ND"
" 19–30 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
" 31–50 y","3,000","2,000",100,"1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
